Date,STATE,frequency
Apr 2006,South Dakota,172
Apr 2006,Tennessee,262
Apr 2006,Texas,1416
Apr 2006,Utah,40
Apr 2006,Virginia,243
Apr 2006,Washington,46
Apr 2006,West Virginia,214
Apr 2006,Wisconsin,574
Apr 2006,Wyoming,42
Apr 2007,Alabama,233
Apr 2007,Alaska,44
Apr 2007,Arizona,141
Apr 2007,Arkansas,159
Apr 2007,California,569
Apr 2007,Colorado,15
Apr 2007,Connecticut,89
Apr 2007,Florida,541
Apr 2007,Georgia,1213
Apr 2007,Hawaii,56
Apr 2007,Idaho,18
Apr 2007,Illinois,7
Apr 2007,Indiana,15
Apr 2007,Iowa,47
Apr 2007,Kansas,26
Apr 2007,Kentucky,254
Apr 2007,Louisiana,5
Apr 2007,Maine,76
Apr 2007,Maryland,82
Apr 2007,Massachusetts,3
Apr 2007,Michigan,94
Apr 2007,Minnesota,739
Apr 2007,Mississippi,255
Apr 2007,Missouri,66
Apr 2007,Montana,71
Apr 2007,Nebraska,64
Apr 2007,Nevada,29
Apr 2007,New Hampshire,20
Apr 2007,New Jersey,226
Apr 2007,New Mexico,82
Apr 2007,New York,1064
Apr 2007,North Carolina,1069
Apr 2007,North Dakota,539
Apr 2007,Ohio,35
Apr 2007,Oklahoma,116
Apr 2007,Oregon,30
Apr 2007,Pennsylvania,157
Apr 2007,Puerto Rico,227
Apr 2007,Rhode Island,4
Apr 2007,South Carolina,580
Apr 2007,South Dakota,84
Apr 2007,Tennessee,324
Apr 2007,Texas,190
Apr 2007,Utah,43
Apr 2007,Vermont,1
Apr 2007,Virginia,210
Apr 2007,Washington,54
Apr 2007,West Virginia,125
Apr 2007,Wisconsin,467
Apr 2007,Wyoming,20
Apr 2008,Alabama,128
Apr 2008,Alaska,24
Apr 2008,Arizona,174
Apr 2008,Arkansas,56
Apr 2008,California,620
Apr 2008,Colorado,48
Apr 2008,Connecticut,202
Apr 2008,Florida,276
Apr 2008,Georgia,448
Apr 2008,Hawaii,73
Apr 2008,Idaho,15
Apr 2008,Illinois,34
Apr 2008,Indiana,22
Apr 2008,Iowa,48
Apr 2008,Kansas,30
Apr 2008,Kentucky,318
Apr 2008,Louisiana,94
Apr 2008,Maine,185
Apr 2008,Maryland,85
Apr 2008,Massachusetts,5
Apr 2008,Michigan,195
Apr 2008,Minnesota,357
Apr 2008,Mississippi,122
Apr 2008,Missouri,14
Apr 2008,Montana,162
Apr 2008,Nebraska,86
Apr 2008,Nevada,22
Apr 2008,New Hampshire,48
Apr 2008,New Jersey,284
Apr 2008,New Mexico,102
Apr 2008,New York,2846
Apr 2008,North Carolina,410
Apr 2008,North Dakota,343
Apr 2008,Ohio,40
Apr 2008,Oklahoma,95
Apr 2008,Oregon,31
Apr 2008,Pennsylvania,388
Apr 2008,Puerto Rico,5
Apr 2008,Rhode Island,68
Apr 2008,South Carolina,193
Apr 2008,South Dakota,138
Apr 2008,Tennessee,236
Apr 2008,Texas,1166
Apr 2008,Utah,38
Apr 2008,Vermont,2
Apr 2008,Virginia,169
Apr 2008,Washington,46
Apr 2008,West Virginia,248
Apr 2008,Wisconsin,155
Apr 2008,Wyoming,58
Apr 2009,Alabama,144
Apr 2009,Alaska,27
Apr 2009,Arizona,160
Apr 2009,Arkansas,120
Apr 2009,California,436
Apr 2009,Colorado,7
Apr 2009,Connecticut,123
Apr 2009,Florida,339
Apr 2009,Georgia,328
Apr 2009,Hawaii,56
Apr 2009,Idaho,18
Apr 2009,Illinois,49
Apr 2009,Indiana,5
Apr 2009,Iowa,304
Apr 2009,Kansas,22
Apr 2009,Kentucky,260
Apr 2009,Louisiana,115
Apr 2009,Maine,242
Apr 2009,Maryland,53
Apr 2009,Massachusetts,1
Apr 2009,Michigan,165
Apr 2009,Minnesota,629
Apr 2009,Mississippi,127
Apr 2009,Missouri,58
Apr 2009,Montana,92
Apr 2009,Nebraska,124
Apr 2009,Nevada,13
Apr 2009,New Hampshire,46
Apr 2009,New Jersey,166
Apr 2009,New Mexico,157
Apr 2009,New York,2025
Apr 2009,North Carolina,533
Apr 2009,North Dakota,67
Apr 2009,Ohio,27
Apr 2009,Oklahoma,249
Apr 2009,Oregon,47
Apr 2009,Pennsylvania,294
Apr 2009,Puerto Rico,320
Apr 2009,Rhode Island,26
Apr 2009,South Carolina,216
Apr 2009,South Dakota,93
Apr 2009,Tennessee,280
Apr 2009,Texas,1441
Apr 2009,Utah,24
Apr 2009,Virginia,158
Apr 2009,Washington,66
Apr 2009,West Virginia,184
Apr 2009,Wisconsin,602
Apr 2009,Wyoming,18
Apr 2010,Alabama,403
Apr 2010,Alaska,47
Apr 2010,Arizona,78
Apr 2010,Arkansas,186
Apr 2010,California,127
Apr 2010,Colorado,251
Apr 2010,Connecticut,134
Apr 2010,Florida,176
Apr 2010,Georgia,825
Apr 2010,Hawaii,88
Apr 2010,Idaho,12
Apr 2010,Illinois,57
Apr 2010,Indiana,10
Apr 2010,Iowa,61
Apr 2010,Kansas,15
Apr 2010,Kentucky,594
Apr 2010,Louisiana,255
Apr 2010,Maine,88
Apr 2010,Maryland,21
Apr 2010,Massachusetts,1
Apr 2010,Michigan,235
Apr 2010,Minnesota,1068
Apr 2010,Mississippi,386
Apr 2010,Missouri,36
Apr 2010,Montana,108
Apr 2010,Nebraska,110
Apr 2010,Nevada,13
Apr 2010,New Hampshire,39
Apr 2010,New Jersey,159
Apr 2010,New Mexico,107
Apr 2010,New York,1373
Apr 2010,North Carolina,778
Apr 2010,North Dakota,178
Apr 2010,Ohio,60
Apr 2010,Oklahoma,256
Apr 2010,Oregon,9
Apr 2010,Pennsylvania,261
Apr 2010,Puerto Rico,247
Apr 2010,South Carolina,410
Apr 2010,South Dakota,46
